"Category","Number of objects","Objects automatically converted","Objects with simple actions","Objects with medium-complexity actions","Objects with complex actions","Total lines of code"
"TYPE","3","3","0","0","0",""
"PROCEDURE","11","6","5","0","0",""
"VIEW","17","13","4","0","0",""
"TRIGGER","1","0","1","0","0",""
"INDEX","33","32","1","0","0",""
"CONSTRAINT","59","55","4","0","0",""
"TABLE","24","24","0","0","0",""
"SCHEMA","1","1","0","0","0",""
"SQL_syntax_elements_number","5047","5041","","",""
"Storage_objects_count","120","120","","",""
"Code_objects_count","29","29","","",""

"Source database: pubs.dbo.Azure SQL Database - 41792694onboardingsilkroadredcarpet-mi-dev-01.76c13d078b29.database.windows.net:pubs"
"Microsoft SQL Azure (RTM) - 12.0.2000.8 "
"Oct 10 2023 09:37:59 "
"Copyright (C) 2022 Microsoft Corporation"
